# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
  384    550.97    178.66    20.175    19.306       85.10      189.43
  385    735.18    178.69    20.607    19.714       57.18      130.13
  386    122.42    179.20    19.302    18.432      190.20      424.00
  387    307.69    181.83    20.512    19.407       62.38      172.64
  388    416.08    179.23    21.611    20.896       22.67       43.83
  389    490.84    179.38    20.209    19.044       82.50      241.21
  390    544.62    179.45    20.349    19.856       72.54      114.22
  391    573.59    180.41    20.066    19.090       94.12      231.14
  392     77.68    181.53    20.499    19.504       63.14      157.84
  393    168.32    181.24    19.857    18.831      114.04      293.54
  394    207.40    181.51    20.991    19.554       40.14      150.83
  395    341.55    181.33    20.647    19.606       55.13      143.79
  396     69.96    182.56    19.705    19.101      131.20      228.94
  397    495.81    182.84    20.103    19.000       90.93      251.25
  398    586.82    183.00    19.382    18.614      176.76      358.47
  399    773.23    182.32    23.534    19.891        3.86      110.52
  400    403.38    183.99    16.811    15.590     1886.34     5806.72
  401    556.74    184.09    20.219    19.351       81.70      181.81
  402    791.97    184.07    20.479    19.430       64.35      169.00
  403    377.74    184.88    19.608    18.643      143.42      348.99
  404    383.65    184.10    19.850    19.148      114.86      219.18
  405    672.20    184.69    19.231    18.173      203.02      537.97
  406    444.79    185.22    21.297    19.722       30.28      129.19
  407    694.20    185.30    20.263    19.283       78.47      193.64
  408    715.49    187.69    19.540    18.587      152.69      367.49
  409    727.93    185.40    21.482    20.102       25.55       90.99
  410    224.93    186.50    20.982    19.667       40.47      135.88
  411    276.83    186.10    18.037    17.093      609.60     1454.41
  412    470.77    186.34    19.842    18.820      115.63      296.58
  413    526.34    186.84    17.579    15.790      929.69     4831.05
  414    615.00    186.98    20.496    19.054       63.32      239.02
  415    634.42    186.16    20.790    19.886       48.32      111.07
  416    765.87    186.57    23.766    20.287        3.12       76.79
  417    285.67    187.75    21.028    20.390       38.79       69.85
  418    301.07    187.82    18.431    17.412      424.33     1084.28
  419    324.61    187.91    20.604    19.308       57.32      189.14
  420    430.58    187.82    25.619    20.176        0.57       85.03
  421    600.14    187.48    22.302    20.634       12.00       55.78
  422    679.20    187.84    21.204    20.482       32.99       64.18
  423    715.35    187.70    19.585    18.587      146.61      367.49
  424    780.43    189.94    19.107    18.190      227.68      529.45
  425    390.27    188.71    20.543    19.838       60.64      116.11
  426    721.96    188.27    20.004    18.977       99.59      256.48
  427    188.80    189.39    19.271    18.306      195.64      475.80
  428    254.54    189.46    19.923    18.869      107.34      283.42
  429    571.84    189.60    18.143    16.663      553.32     2161.84
  430    147.33    190.94    19.656    18.671      137.29      340.20
  431    293.60    190.93    20.622    19.744       56.39      126.59
  432    480.29    190.20    19.519    18.351      155.79      456.66
  433    780.42    189.65    19.141    18.190      220.65      529.45
  434    354.78    191.33    20.921    19.632       42.82      140.37
  435    539.52    191.30    20.235    19.085       80.54      232.29
  436    549.89    191.39    19.804    18.736      119.84      320.37
  437    652.39    191.47    19.496    18.524      159.04      389.48
  438    447.99    192.69    19.419    18.376      170.77      446.23
  439    383.63    193.68    19.746    18.779      126.41      307.98
  440    615.36    193.97    19.445    18.364      166.73      451.41
  441    630.22    193.50    23.081    20.268        5.86       78.13
  442    742.87    193.53    20.037    19.831       96.61      116.85
  443    230.56    194.74    21.168    20.087       34.11       92.28
  444    402.60    194.77    20.002    19.023       99.80      245.88
  445    432.99    194.95    19.972    18.839      102.57      291.24
  446    657.90    194.90    20.356    19.378       72.03      177.37
  447    669.37    194.68    19.476    18.559      162.05      377.12
  448    516.91    195.21    21.410    20.445       27.28       66.38
  449    564.23    195.58    23.782    21.211        3.07       32.78
  450    577.34    195.54    19.228    18.342      203.69      460.27
  451    577.76    195.54    19.226    18.342      204.03      460.27
  452    590.44    196.56    20.323    19.553       74.28      150.92
  453     56.10    197.32    19.655    18.962      137.35      260.18
  454    134.64    198.08    21.309    19.886       29.94      111.05
  455    301.51    197.64    19.694    18.650      132.57      346.87
  456    421.94    197.27    19.652    18.777      137.81      308.40
  457    478.79    197.48    18.704    17.786      329.83      768.36
  458    152.66    198.37    20.193    19.172       83.70      214.34
  459    635.04    198.44    22.180    22.561       13.42        9.46
  460    760.74    198.79    19.616    18.597      142.47      364.00
  461    114.84    199.51    20.100    19.453       91.16      165.44
  462    180.46    200.04    20.237    19.238       80.37      201.74
  463    294.99    199.89    19.670    18.650      135.54      346.59
