# ID  X  Y  MAGNITUDE  FLUX
  363    347.85    140.22    20.650       54.95
  364    425.68    140.12    20.116       89.86
  365    618.12    140.42    21.654       21.80
  366    231.76    140.95    20.255       79.09
  367    253.27    141.14    19.859      113.89
  368    611.41    141.00    21.922       17.03
  369    714.70    141.86    19.725      128.83
  370     41.42    143.47    17.112     1429.24
  371    169.64    143.12    22.983        6.41
  372    675.84    142.56    19.528      154.46
  373    683.86    142.44    19.189      211.11
  374    691.47    143.05    19.003      250.47
  375     10.08    143.07    19.460      164.41
  376    184.19    143.77    19.323      186.54
  377    237.35    143.70    21.782       19.38
  378    385.82    144.29    16.820     1870.57
  379    590.03    144.21    20.856       45.47
  380    663.67    141.21    20.281       77.23
  381    761.65    144.20    19.945      105.19
  382    267.78    144.93    19.977      102.12
  383    458.52    145.13    18.811      298.98
  384    478.84    144.51    19.543      152.36
  385    525.89    145.15    19.891      110.60
  387     54.59    147.25    20.539       60.88
  388     81.13    147.00    19.255      198.61
  389    143.55    146.97    22.150       13.80
  390    201.61    147.45    20.183       84.45
  391    348.90    146.49    20.803       47.75
  392    176.59    147.70    19.913      108.37
  393    567.26    148.47    19.066      236.41
  394    667.76    148.15    21.780       19.41
  395    437.09    148.50    18.575      371.45
  396    720.34    148.21    19.036      243.03
  397    748.60    148.78    20.265       78.35
  398    112.71    149.98    19.716      129.85
  399    281.79    150.33    18.396      437.94
  400    410.15    150.04    19.563      149.60
  401    451.04    149.97    20.232       80.79
  402    683.13    149.70    20.889       44.11
  403    740.04    149.76    19.868      112.96
  404    236.18    150.70    21.070       37.33
  405    299.03    154.34    20.704       52.27
  406    460.44    150.80    20.409       68.61
  407    515.92    151.21    20.151       87.02
  408    762.49    150.74    19.714      130.16
  409    790.77    151.22    17.275     1230.62
  410    575.67    152.12    20.002       99.84
  411    584.56    152.01    17.730      808.81
  412    592.76    152.08    16.947     1663.50
  413    635.99    151.81    20.293       76.32
  414    145.52    152.86    19.580      147.30
  415    153.00    153.32    20.447       66.24
  416    616.93    152.80    16.912     1719.28
  417     85.69    153.64    20.189       84.01
  418    299.03    154.34    20.704       52.27
  419    324.32    154.05    20.740       50.56
  420    395.28    153.99    20.894       43.91
  421    432.63    153.71    18.327      466.92
  422    708.66    154.08    20.133       88.51
  423    646.08    155.02    19.678      134.54
  424    166.94    156.26    19.764      124.29
  425    273.06    155.92    21.987       16.03
  426    449.68    156.07    18.706      329.42
  427    691.62    156.11    22.439       10.58
  428    708.82    154.08    20.128       88.86
  429    339.14    157.29    22.894        6.96
  430    414.93    156.75    20.032       97.12
  431    525.19    157.13    19.936      106.08
  432    771.49    157.36    19.556      150.47
  433    533.83    158.31    20.282       77.12
  434    664.65    158.13    21.970       16.29
  435    680.53    158.05    25.472        0.65
  436    247.10    159.14    20.699       52.51
  437    285.00    158.86    22.559        9.47
  438    559.28    158.50    21.095       36.46
  439    613.89    158.49    18.897      276.22
  440    671.65    158.95    19.873      112.42
  441     44.37    160.29    18.229      510.84
  442    713.36    160.12    22.197       13.21
  443    749.08    159.89    19.492      159.64
  444    432.24    161.32    19.414      171.61
  445    502.39    161.11    18.895      276.67
  446    588.09    165.45    18.843      290.34
  447    223.73    161.70    20.036       96.75
  448    409.06    161.83    19.644      138.75
  449    642.06    162.21    19.612      142.96
  450    654.31    161.87    19.521      155.44
  451    776.63    162.29    20.473       64.71
  452    791.71    162.89    18.602      362.57
  453    185.78    163.10    19.802      120.02
  454    271.70    162.69    19.692      132.79
  455    764.86    162.99    19.618      142.20
  456    283.04    164.36    20.471       64.79
  457    671.71    163.77    20.020       98.19
  458    265.85    165.17    19.382      176.60
  459    364.39    164.65    19.354      181.38
  460    395.75    164.58    17.424     1072.46
  461    588.10    164.86    18.943      264.80
  462     22.40    168.00    20.289       76.61
  463     84.75    165.74    19.601      144.42
  464    313.84    166.46    19.906      109.09
  465    414.70    165.68    20.240       80.18
  466    428.44    166.34    19.561      149.85
  467    546.78    166.12    21.363       28.49
  468    596.64    166.19    19.379      177.15
  469    630.52    166.14    18.766      311.74
  470    331.01    166.57    20.140       87.86
  471    521.96    167.27    20.273       77.78
  472    558.75    166.99    20.116       89.88
  473    568.93    167.18    19.198      209.28
  474    288.04    167.67    21.609       22.73
  475     23.00    168.57    20.169       85.57
  476     60.43    169.06    20.237       80.38
  477    140.45    168.75    20.019       98.23
  478    300.78    169.40    20.365       71.44
  479    682.15    169.46    17.145     1387.17
  480    704.88    168.83    24.581        1.47
  481    741.38    169.34    21.745       20.05
  482    764.14    169.33    21.528       24.47
  483    635.80    170.22    20.299       75.92
  484    656.04    170.11    19.989      100.99
  485    751.15    169.59    20.610       57.02
  486    401.42    171.49    22.183       13.39
  487    477.67    171.13    19.625      141.24
  488    624.25    171.19    19.324      186.37
  489    113.86    172.31    20.926       42.63
  490    170.65    171.74    20.315       74.82
  491    205.70    172.04    21.612       22.67
  492    266.82    172.28    20.151       86.99
  493    351.75    172.95    20.674       53.76
  494    360.70    172.96    19.545      152.10
  495    421.68    172.93    21.778       19.45
  496    451.77    173.28    21.270       31.05
  497    584.52    172.73    19.231      203.02
  498    643.81    173.09    20.666       54.16
  499    776.88    173.23    21.914       17.15
  500    499.89    173.72    19.247      200.10
  501    159.82    175.43    16.876     1776.88
  502    224.32    175.36    21.012       39.38
  503    279.49    175.13    19.714      130.15
  504     49.67    176.20    18.870      283.10
  505     87.59    176.30    21.693       21.02
  506    329.02    175.98    18.595      364.73
  507    131.31    176.65    20.210       82.44
  508    688.88    176.69    21.070       37.32
  509    699.90    176.94    21.425       26.91
  510    235.36    177.84    20.675       53.72
  511    320.72    177.98    21.654       21.80
  512    346.13    178.45    20.485       63.98
  513    550.70    178.10    20.175       85.10
  514    734.93    178.05    20.607       57.18
